content,SENTIMEN
hay rekan shope mohon maaf bayar spaylater tanggal kemarin tagih email kembali dana tagiha nya nambah nih bunga nya gmna,negatif
ok,positif
,positif
ill and seeing muncul,negatif
good,positif
ok bagus,positif
moga sukses,positif
shopee jos gandos sukses shopee,positif
mudah cari barang,positif
gk tausoalny bgs aj,positif
aplikasi berat nguras memory banget,negatif
good app,positif
mantap shoppe ringan karna tinggal cekout cocok,positif
aplikasi guna karna ngak download,negatif
maaf lola ya jaring internet stabil,negatif
lot,negatif
good luck,positif
okeee bangettt,positif
percaya,positif
bagus,positif
video bikin berat aplikasi aja nggak fokus jual aja game berat,negatif
mantap,positif
senang,positif
mantap,positif
bagus apk nya,positif
iklan mulu kaga seru maen iklan shopee muluu kesel bat,negatif
sopy,positif
bagus,positif
banyak gratis ongkir kasi info nomor telfon kurir yg bawa paket nya terima kasih shoppe maju trus,positif
shopee bagus,positif
bantu,positif
selamat,positif
dikit beet gratis ongkirnya kak,negatif
bagus,positif
tolong tambah fitur tema gelap nya terimakasih,positif
puas belanja,positif
kerja bagus,positif
aplikasi berat,negatif
keren banget apk bantu,positif
good,positif
top,positif
sopi cekot barang tp gratis gx sich xixixi ngakak abiez,positif
baik,positif
apk nya bagusbanyak diskon promo tarik,positif
kecewa ikut event gak menang jangan udah setting rekan doang pilih waspada php in langgan fakir miskin juang receh dosa loe pade tanggung,negatif
,positif
aplikasi yg sngt aq favorit shopee,positif
suka banget klau freong,positif
suka alpikasi shopep,positif
mantappppp pol,positif
bantu,positif
muas slalu,positif
ok,positif
ok,positif
barang nya baguus,positif
shopee ok kaum sudra,positif
tolong produk vape rokok elektrik gilir alkohol ketemu kontlo,negatif
oke,positif
shoppee nakal banget sih iku sumpa pacar badmood gara gara ga dpat flashsale kalo bikin flash gin pacar kecewa nang badmood takasih ranting kalo pacal udah ketawa gara gara takasih bintang,negatif
buruk,negatif
bagus,positif
buruk kirim lambat,negatif
masuk alamat shopee tolong,negatif
bantu,positif
,positif
bintang,positif
ok bnigit,positif
bagus,positif
bagus,positif
,positif
sdh yg sekian blanja shopeetrims promonyatrims pelayanannyasukses to shopee,positif
bintang yg bicara,positif
bintang yg aplikasi isi macam ukur diinstall  mb,negatif
suka banget belanja shoppe berka yah,positif
aplikasi berat yg,negatif
maaf ngasih bintang segitu apk shopee lambat,negatif
manfaat belanja onlline,positif
bagus banget kalo mesen barang nya cepet sesuai harap makan nya kasih bintang makasih shopee mega elektronik,positif
banyak promonyajangan kasih kendorsemoga depan jaya,positif
oky,positif
aplikasi jual beli lengkap,positif
bagusss banget,positif
bagus promonya lumayan adil ribet top up udh bayar biaya tambah nominal yg masuk jg rang dg istilah biaya transaksi lha yg bayar pas top up isi bank gagal,negatif
ok,positif
slektif tingkat aman toko yg terpecaya,positif
rekomendet,positif
syukaaaaaa,positif
,positif
woy iklan mulu la liat tik tok gk,negatif
aplikasi lelet ngebug belanja susah pencet klo buka aplikasi gk ngebug maaf unistaal lgi tolong baik lg biar mudah belanja maaf ksi bintang,negatif
aplikasi bagus aman ga jual yg suka tipu beli,positif
mantaap,positif
aplikasi apasih ajg download fitur pembayaranhapus aja fiturnya ribet,negatif
,positif
bagus suka suka layan shoopee belanja shopee,positif
,positif
moga spaylater,positif
bagus,positif
good apk,positif
mantap,positif
lot,negatif
aplikasi nya lot sih tp gpp nikmat belanja tingkat ya,positif
kirim cepat terimakasih shopee,positif
jamin mudah murah,positif
ya puas,positif
tukang paket nya gatau ajah gagal kirim pdahal alamt gaada alamat gak nyampe nyampe paketaan alamat gak nyampe eror,negatif
bagus,positif
aplikasi bantu belanja online hasil koin vidio undang teman,positif
bagus,positif
mantap shopee,positif
belanja online shopee bagusss karna aq neng promo ongkirnya yah klo beli barang sampai tuh minggu karna aq tipe org yg gak sabar klo beli barang shopee kadang beli jauh deh desak it  okay sih aq,positif
nyaman belanja shopee bantu karna paylater  cuman limit nya susah kali,positif
moga depan shopie lbh pesan jual yg nakal suka akal beli hrs lbh perhati lagisoalnya byk jual atas nama pakai hadiah byk konsumen yg ketipucia you shopie,negatif
enak nyaman,positif
shopee skrng sih paket jaring lancar lancar aja knp kadang suka ga muncul gambar nya loading mulu ya,negatif
kak paket ny batal ya rumah tunggu langsung batal aja telpon bisa-,negatif
iklan kau sebal,negatif
lot,negatif
good,positif
lot euy lieur,negatif
lumyn lahj,positif
good,positif
berat aplikasi,negatif
aaaaa aaa,negatif
suka banget tpi aqw gk negerti sistem tulis promo rbu pas diklikjadi gk pham,positif
hantu,positif
live hilang,negatif
pinjem udah bayar tagih udah kirim bukti fb whatsapp ga respon,negatif
alhamdulillah aplikasi bantu belanja terima kasih bantu mudah belanja,positif
topsaya suka gratis nya karna penguna desa ringan ongkir tuk shopee jgn gratis onkir aja main diskon potong langsung tk dia min blnja ptg langsung byr tik tok shop toko dia lazada gila gila kalo kasi potong langsung harga brg,positif
kirim cepat,positif
shoopee mantap,positif
lucu,positif
kakk aplikasi lot ya abis baru,negatif
bantu,positif
moga lo gda yg make ajg gua lgi war nimbul iklan lo bngst,negatif
oke bos,positif
mantap,positif
puas,positif
bagud,positif
mantapl,positif
lot,negatif
super lot app nya kecewa yg pdahal jaringn full,negatif
jarang kecewa,positif
muas,positif
ngelag update jaring lancar login akun aja susah tolong baik min,negatif
update berat lelet bug nya pas main gensin impact lancar no delay,negatif
iklan,negatif
baguss,positif
gut,positif
bagus bangetharga murah mudah,positif
bagus,positif
bagus pegiriman,positif
mantab belanja shopee ayo buru belanja nunggu,positif
baguss cepat nya,positif
bagus tipu kyk beli barang dtg nya yg,positif
game lotnok,negatif
sukses shopee,positif
ok,positif
ya allah lelet bangeeeet apalg sabar ku setip tisu apk nya berat gara banyak fitur kasih bintang,negatif
seru belnja,positif
,positif
,positif
bagus,positif
ngelag kesel produk nya yg muncul,negatif
shopee nya bangkrut gak bikin shoppe paylater aja ribet ujung ujung nya coba tulis nya shoppe bangkrut,negatif
lho tt,negatif
biar si shopee vidio bikin aplikasi berat aja lot gaketulungan,negatif
lemooottt aplikasi,negatif
sumpah kecewa bgt batal pesan tuh ga acc pdhl akun label shopeemall kalo alamat salah beli shopeepay shopee service beli kaya gin bye ga pake shopee saran user cek dlu deh alamat lengkap shopee ga tanggung jwb batal,negatif
oke,positif
aplikasi beraaaaaaattttt alias lemoootttttt mending laz ringan,negatif
bagus,positif
aplikasi aga lelet suka kesel blanja aplikasi lot cepetan yg belah,negatif
belanjnya cepat mudah,positif
good job,positif
good job,positif
puas bgt blnja shopeehrga lbh murah layan oketrmksh sukses trs ya,positif
mudah belanja gratis ongkirnya,positif
asu,negatif
bagus bngetmau aja tinggal ki,positif
aplikasi manfaat guna,positif
udh ckup ok,positif
aplikasi berat lag,negatif
neng deh shopee asa mall pribadi,positif
gua heran shopemakin kesini berat aja buka beranda aja gk pda kliatan foto produknyapadahal sinyal wifi udh kencenggitu kdang suka kecewa beli lambat bangettlong dibenerin kya fitur video ilangin ajamalahan kaya tiktok jdinya video jual video,negatif
mantap shoope hebat moga sukses jaya,positif
kali beli kurir shopee express barang,negatif
gratis ongkir emg tp biaya tangan ku baik tolong,negatif
apk ny lot berat,negatif
muas terimakasihh,positif
good,positif
shoppe mantap,positif
luwarbiyasa,positif
oke,positif
alham dullillah pesan nya dh mudah an awet order lg,positif
senang belanja shopee gratis ongkir minimum belanja thanks shopee smoga sukses ya maaf gak kasih bintang msh suka lot aplikasi,positif
klo bagus,positif
lelet,negatif
nyaman,positif
santap bro,positif
sungguh bantu pakai aplikasi shopee belanja mudah enak,positif
shopeepaynya tangan cs mantab,positif
good,positif
kecewa pesan sellu cocok,positif
nice,positif
suka belanja terkadang lelet banget gak lihat barang terkadang susah utk checkout,positif
aktivasi spinjam gak spaylatter data gak sesuai pas telfon ga data gak sesuai sesuai bijak usaha bantu nasabah gak transaksi,negatif
ayo belanja shopee mumpung diskon super gede,positif
bagus,positif
mkaaih pakai jasa shopee,positif
mantap,positif
nyaman belanja shopee,positif
gk maksimal awaldiupdate ngelag bgtdikira sinyal yg bapukbuka aplikasi lancar kenceng ajapas shopee ngelag kaya yg berat,negatif
buruk,negatif
bobrok,negatif
aplikasi belanja online yg bagus rim cepat kurir ramah kembang yah,positif
spam iklan trus,negatif
fungsional,positif
gila lu shopee ngebanned sembarang langgan gak customer servis bilang salah akun ditanyain ad jelas akun jual ngidupin org blok sampe ad jual gila banget gila lu bsa handle masalah gak solutif ubah bintang lu benerin kerja tim kait lu ngatasi akun aj,negatif
mantap,positif
bagus,positif
diupdate lot gin video,negatif
aplikasi tolol mending lajada keren emang sopi tolol,negatif
,positif
mantap,positif
heeeii knapa sdh bbpa kek gin live shoppe co pemberitahuan muat fitur silah tunggu tolong cepat baik,negatif
kelas shopee mall ngirim barang rusak kapokk,negatif
iklanny ngeganggu,negatif
enak bener njir hadiah gratis beneran,positif
terima pesan kode otp no aktif sinyal bagus shopee update baru hapus data hadehhhhhh rugi si beli si jual,negatif
mantap,positif
hati barang rusak,negatif
aplikasi bagus masuk saran shopee tolong tab chat toko chat beli pisah donk campur gin pusing lihat chat udah tab nilai pisah nilai toko nilai beli mohon saran timbang thanks,positif
,positif
bagus,positif
shopee mega big sale,positif
mantap mmng shoope,positif
kirim cepat kurir nya ramahngk rugi langgan shopeeok banget,positif
tinnkat,positif
ko ubj kutu bu,negatif
bagus mwmbeli butuh,positif
bantu,positif
baguss,positif
oke barang nya aman,positif
payah shopee gak cod paket ku bayar,negatif
shoppe pelit gratis ongkir event beli instan jam pakek minimal belanja kasih bintang gak kayak,negatif
update lelet,negatif
saldo shopepay transfer  cek saldo aja susah bgt lot bgt udah update download lot udah refresh kali kali yg beda aja,negatif
jual toko online dg respon yg cepat  percaya,positif
huft shopee kesini jelek yg bug ganti nama akun akun,negatif
good,positif
dv,negatif
oke,positif
apk sih bagus shopee express lambat kirim niat hati nunggu bikin kesel krna kurir yg gak komunikasi customer khusus shopee express slawi kab tegal mending bubarin management yg komplain perihal kirim kurir malesan pdhl gaji gk mikirin apk yg nama apk buruk gara oknum malesan mending baik management slawi jelek banget,positif
cepat sesuai pesan,positif
shopee fitur nya yg oke bantu dlm bisnis,positif
trimakasih,positif
iu,ngatif
ok,positif
,positif
oke harga murah murah,positif
shopee beku payliternya bayar gak tlat,negatif
kesini lelet jaring stabil,negatif
gajelas buka shopee daftar ikut ikut konfirmasi guna teman apa tolong harga privasi hubung akun sosmed shopee langsung teman shope harga privasi,negatif
sangn bantu belanja,positif
ok deh shopee saran kasih gift langgan setia yaa,positif
bagus,positif
kasi bintang karna sitem cod kurang beli ribu aja tf,negatif
kurirny mohon perhati lg hubung taruh barang alamat salah,negatif
bangusssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss bangettttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,positif
plusminesbelanjaonline mes barang nya aja belumkita pegang dibatalkanngga padahalcuma ganti sistem bayar langgan ngga diijinkan batal alas resisudah cetak,positif
pelayann buruk pengirimn buruk lewat,negatif
aplikasi parah berat hp ram aja lot,negatif
belanja mudah,positif
ribettttt reset handphone bayar shopie blokir blok,negatif
suka bgt asli mudah orang belanja ribettinggal duduk anteng rumah paket nyampe deh,positif
josss,positif
belanja ad tipu komplot join sophie jual gak sesuai gakbar kick gak sesuai skripsi ya jual aj repot tggu reting korban  gak shopy,negatif
shopee bantu,positif
layan bagus,positif
shopee bagus bayak diskon gratis ongkir,positif
apk shopee baik semuapelayanan cepat rugi langgan good,positif
bagus,positif
iklan,negatif
,positif
suka,positif
,positif
gk dowloand me gimna ya,negatif
sdh terima pesan shopee lumayan jg krn sdh jangkau kurir terimakasih shopee,positif
layan shopee bagus alhmdulilah lancar blm pernh dikecewakn,positif
buruk,negatif
tolong duperbaiki aplikasi lumayan lot pake kuota,negatif
moga amanah,positif
bagus,positif
bagus sih cuman pas masuk keranjang eror hp untung,positif
loss,negatif
aplikasi bagus beli barang butuh lai,positif
toko online baik yg indonesia,positif
shopee is the best,positif
senang puas,positif
lelet kale kirim sortir kaya milih janda,negatif
klo baru lemotin si aplikasi nya baru lot banget sen barang bikin kesel aja,negatif
menbantu,positif
ok,positif
maafkenapa ya ga ongkirnya aneh ya,negatif
apk shopy bantu blanja online,positif
daftar jual pas dah selesai postingan pencet tombol kirim katanyabatal simpan ya,negatif
kalo belanja tinggal beli,positif
toko jual online lengkap percaya mudah beli belanja produk indonesia ribet thanks shopee,positif
hip,positif
bagus,positif
terima kasih sopi bantu ekonomi,positif
bug parah,negatif
oke sip info nya,positif
terima kasih shopee layan,positif
layan cepat bagus,positif
iklan muncul mengganngujadi simpatik,negatif
aplikasi shoope makan berat gak spt yg,negatif
suka bingit,positif
,positif
tindak vendor nakal returnmerugikan konsumen,negatif
iklan shopee hp menganggu,negatif
mudah,positif
good app,positif
sukses shopee lupa tambah limit spinjam nya,positif
iklan aplikasi tutup layar ganggu privasi,negatif
uhuy,positif
shopee doang yg percaya,positif
terimakasih om tante solusi penuh ingin akau,positif
bagus aplikasi nya,positif
apl nya,positif
lelet,negatif
bilang aplikasi lot hp lu kentang,positif
shopee gitu,positif
seller mula susah laku ya,positif
mantap,positif
udah lot kualitas nya jelek duit bonus ga ambil pindah aplikasi nih,negatif
belanja pergi toko,positif
enak aplikasi banya gratis ongkirnya,positif
ya aju paylater nya gabisa gituudah coba kali kali tetep gabisa jugaapa kendala gabolehin utang hihi,negatif
gratis ongkir potong doank mending beli lbih murah dri beli online gk nunggu,negatif
apk bagus,positif
biasaah,positif
nyuruh belanja mulu ngasih limit paylater kayak bocah rbdalam bulan top up gara limit ogah gw belanja ga limit,negatif
apk bagus,positif
