content,SENTIMEN,,,,
Perfect,positif ,,,,
top,positif ,,,,
Macettttt,negatif ,,,,
Minimal koneksinya buat stabil biar kalo flashsale yang lain kebagian juga,negatif ,,,,
Pinjol haram. Cicilan ga ngotak sampe 50%,negatif ,,,,
Bagus,positif ,,,,
"Semakin mantap.....apalagi dengan adanya spaylater,jadi makin josss.....",positif ,,,,
Mantap,positif ,,,,
Mantul ????,positif ,,,,
Puas belanja di shopee,positif ,,,,
Ok,positif ,,,,
Mantap,positif ,,,,
664 Sholawat,positif,,,,
"Iklan terlalu banyak,, iklan melulu",negatif ,,,,
Shopee sangat membantu belanja cepat dan sesuai keinginan. Smg shopee makin maju dan sukses.,positif ,,,,
Makin kesini makin gak jelas nih Shopee ??,negatif ,,,,
Sangat puss blanja d shopee Dan aman sukses selama nya shopee Dan jaya,positif ,,,,
Sangat bagus????,positif ,,,,
Gila sekarang jualan dishopee potongan admin hampir 9% lebih...mau chat CS...malah robot mulu yg jawab...gedeg bgt gua....makin kaya shopee ..parah!!!,negatif ,,,,
Sangat membantu dalam belanja online terimakasih Shopee.,positif ,,,,
Kenapa saya tidak bisa cod tolol,negatif ,,,,
Mhon maaf kpd pihak shopee.sya ingin menanya kan tntang pmulihan akun di batasi.sya Uda mngajukan pmulihan akun sya yg kena f02.kata pmberitaun dari email pihak shopee.akun sya akan di pulih kan kmbali stelah 30hri di hitung dri tgl2 mey.untuk penarikan saldo pda akun trsebut.tiba2 ada pmberitaun lagi di pihak shopee akun sya tidak bisa di pulihkan.mana dong janji pihak shopee ke pda sya 1 bulan yg lalu.klau akun sya di batasi tidak apa2.tapi yg masala nya ada uang sya pda akun.tlong puli kn.,negatif ,,,,
Aplikasi mulai terasa berat,negatif ,,,,
Mudah dimengerti,positif ,,,,
sangt bgus,positif ,,,,
mayan,positif ,,,,
Q@@c??cg uhhh xx,negatif,,,,
Mantap,positif ,,,,
Good,positif ,,,,
Mantap,positif ,,,,
Skrg dah mulai ok,positif ,,,,
Sangat membantu,positif ,,,,
mantap sopi,positif ,,,,
Saya kurangi bintangya karna apk nya sering lelet.terus mana mau meruba alamat mala gk bisa mana bolak balik terus tetap gk bisa.tolong dong klw puya apk jangan di persulit bikin alamat. Garus inila itula blah blah blah.susah banget.,negatif ,,,,
Shopee memang hebat semoga sukses terus,positif ,,,,
Akun dibatesiinn gimana sih shopee pdhl uda oke cm telat bayar aj pdhl uda dibayar haha lucu sih mnding g usah dibayar aja ap ya merugikan wkwk,negatif ,,,,
Iklan tdk bermutu bikin habis kuota,negatif ,,,,
Puas banget belaja di shopee !!!!!,positif ,,,,
"Maaf saya kasih bintang 2 karena makin lelet.nggak karuan, Sudah pakai wifi sampek ganti pakai paket data tetap muter"" Aja. Mau bayar pakai Shopee pay pun cuma loading terus sampek sekarang nggak bisa. Mohon perbaiki donk fitur""nya.",negatif ,,,,
Ngeriya sm N0l,negatif ,,,,
Oke??,positif ,,,,
Ok,positif ,,,,
sangat memuaskannnn belanja di shoopee harganya murah tapi tidak murahan dan barangnya bagus,positif ,,,,
Baik,positif ,,,,
nunggu barang sampe kaya nunggu antrian haji. zaman teknologi modern tp kaya zaman pos sepeda ontel,negatif ,,,,
Mantap pokonya,positif ,,,,
??,negatif ,,,,
shopee sangat membantu sekali,positif ,,,,
Jaya..jaya..jaya ..... Semakin jaya...,positif ,,,,
luv luv deh untuk shopee ???,positif ,,,,
lumayan membantu,positif ,,,,
Bintang saya kurangi karna fitur face id menyusahkan saya ketika checkout barang karna fitur hp saya kurang memadai. Tolong fitur face id dihapuskan di ganti finger print atau sandi kembali,negatif ,,,,
Mantap dah Shopee iloveyou fullll,positif ,,,,
"Semakin baru aplikasi, semakin lemot",negatif ,,,,
Good,positif ,,,,
Aplikasi ini sangat amat bagus saya suka sekali saya setiap hari di gratisin ongkir,positif ,,,,
Bgs lah,positif ,,,,
"Please hapus dong shoppe videonya, dan beberapa games nya, ituh yg bikin lemot ini aplikasi buat belanja atau buat mainan??",negatif ,,,,
"Sangat baik ?????????? Terima kasih, semoga sukses selalu,, Kurir sangat Rama, baik dan sabar,, Shopi semakin terdepan,, Aamiin?????+",positif ,,,,
okee,positif ,,,,
mantap,positif ,,,,
Semoga selalu amanah shopee,positif ,,,,
LaZada losss bos ?? Shopee di hati,positif ,,,,
"Shopee makin kesana makin kesini,pelit.",positif ,,,,
Sip tapi suka lelet,negatif ,,,,
Mantap,positif ,,,,
"Trimkasi shope, jauh-jauh di papua tpi kalau uda buka shope seperti belanja di mol"" Jakarta. Barang lengkap semua",positif ,,,,
Semoga amanah,positif ,,,,
Lemot,positif ,,,,
"Shopee sekarang kok gini amat yaa , mau apa apa susah , apalagi menu shopee pay nya , Sering banget error sedang memuat fitur . Coba perbaiki lagi donggg .",negatif ,,,,
"Sebelumnya saya minta maaf???????????? Ini Spinjam adanya di Shopee customer/Shopee belanja Shopee customer harus/kudu/wajib download waktu daftar Shopee driver. Berharap akun Shopee driver saya orderan food tapi kenyataan dikasih orderan selalu SPX,apalagi (JOSACA)cluster Italy,Banjar Wijaya-cipondoh,harus bawa Galon isi auto cancel, itupun sudah banyak driver mengadu tp tidak ditanggapi. Saya putus asa,sangkin ingin dapat orderan food saja,",negatif ,,,,
"aplikasi sangat lambat dijalankan meski sudah menggunakaan internet berkecepatan tinggi.. aplikasinya juga sering hang, semakin di-update malah semakin lambat.. banyak fitur tapi lambat dipakainya.. bikin hp cepat panas.. udah macam pasar tumpah aja shopee nih ??",negatif ,,,,
Mantappp,positif ,,,,
"makin lelet aplikasinya, berat bgt rasanya. udah refresh beberapa kali, udh dihapus chahe, bahkan hapus data tetep aja lelet!!!!!!!! sering lag sama banyak bug nya juga! kadang pas buka aplikasinya layar semua putih, terus sering keluar dari aplikasinya. padahal buka aplikasi lain lancar2 aja, jaringan bagus memori jg ga penuh, tapi pas buka shopee maah lag, terus nge blank. tak kasih bintang 2 dulu Harua bagaimana lagi? Dah habis kata kau buat jawab kan?? Aplikasi mu lama lama bikin naik tensi",negatif ,,,,
Bgs,positif ,,,,
senang lihat video shopee,positif ,,,,
bagus,positif ,,,,
Banyak gratis ongkirnya,positif ,,,,
Lebih baik dan dipercaya dari yang lain...,positif ,,,,
Terbaik di belanja online terpercaya,positif ,,,,
"Semenjak saya pake aplikasi shopper,jadi nggak repot untuk berbelanja.",positif ,,,,
sangat lemot.. apl belanja online kebanyakan fitur gk penting. tidak semua pengguna shopee hp nya bagus.. saya harap ada apl shopee versi lite yang tidak ada live video.,negatif ,,,,
Sangat bagus,positif ,,,,
Mudah mendapatkan rejeki,positif ,,,,
Ok.. Bgus,positif ,,,,
I love you,positif ,,,,
Belanja murah belanja online praktis,positif ,,,,
Klau belanja dishopee enak barang dijamin original,positif ,,,,
"Penjual jahat main blokir minta ganti rugi aja blokir tak aklak. Tambahan baru penjual diberitau cek barang kondisi layak atau tidak helm dikirim dengan baut hilang tak aklak. Tambahan lagi saya beli barang pakai koin sebanyak 30 ribu koin beli sereal eee, disuruh batsl minta ganti koin diblokir tak aklak makin parah susah dipercaya makin lama. MAKIN PARAH LAGI SINYAL BAGUS TAK BISA BAYAR BARANG",negatif ,,,,
Bagus,positif ,,,,
Belanja online yang menguntungkan,positif ,,,,
Suka,positif ,,,,
Sangat membantu dan murah,positif ,,,,
Baik,positif ,,,,
ok,positif ,,,,
Jelek,positif ,,,,
Setelah di update makin ngebug di jaringan dan membayar denhan s.paylater,negatif ,,,,
Cocok untuk kita yang suka cod ad,positif ,,,,
Barang yg datang tepat waktu dan sesuai pesanan,positif ,,,,
"Segala sesuatu yang ingin kita perlihatkan tak perlu banyak sponsor, terimakasih",positif ,,,,
top,positif ,,,,
"Real Pict barang2nya, tQ Shopee ????",positif ,,,,
baik,positif ,,,,
Baguss,positif ,,,,
Mantap,positif ,,,,
Bagus banget,positif ,,,,
Keren,positif ,,,,
keren bagus,positif ,,,,
"Pengiriman lumayan cepat,respon lumayan cepat.",positif ,,,,
tingkatkan lagi promosi nya,positif ,,,,
Bagus,positif ,,,,
Sangat membantu,positif ,,,,
"Aplikasinya lemot padahal buka game dan streaming youtube 1080p lancar, sering lag, buat hp jadi sangat panas seperti main game lama, padahal waktu buka apl olshop sebelah engga panas, tolong diperbaiki",negatif ,,,,
Aku sangat suka shoppee 6.6,positif ,,,,
Bagus dah pokoknya,positif ,,,,
tidak dapat verifikasi login akun aneh banget padahal sesuai semua,negatif ,,,,
Bagus,positif ,,,,
"Selalooo di Depannnn, Majuuu Terusss",positif ,,,,
Tolong tambahkan pembayaran menggunakan dana bila sudah saya tambahkan bintang 5,positif,,,,
Makin berat,negatif ,,,,
Mantap lah pokoknya sudah mantap bang hihi mantap" hehe iyo bang mantap" aduhhh hihi Mantap"sshh,positif ,,,,
"Alhamdulillah shopee sangat membantu bagi saya seorang ibu rumah tangga,dengan shopee saya bisa membuka usaha dan sambil belanja ,terimakasih shopee??",positif ,,,,
belanja di shopee selalu menyenangkan....,positif ,,,,
Bahshs,negatif,,,,
Mantap,positif ,,,,
"MAKIN LAMA MAKIN ANEH NI APK KAGA JELAS, MEMORY HP SAYA BESAR INTERNET SAYA BAGUS SUDAH DIBERSIHKAN CECH SEGALA MACEM TTP AJA KAGA BISA DIBUKA. TETAP AJA ADA TULISAN ""Ups Halaman Sedang Dalam Perbaikan"" SEMENTARA SAYA MENGALAMI ITU UDA 5 HARI YG LALU SAMPAI SAAT INI. TOLONG DONG PERBAIKI INI APK, NNTI MAKIN LAMA ORG≤ PDA KASIH RATING ?? 1 LOH BENERAN DAH. TERIMAKASIH??",negatif ,,,,
"Bintang 1, karna ini keamanannya sudah gak ketat,Sudah ada si penipu yang menjual di aplikasi ini",negatif ,,,,
"Beneran ngeselin banget, kenapa ya ? Kok bisa pas bukak ngbug mulu.. perbaikan terus . Dan kembali ke awal. diperbarui malah bikin ga nyaman .",negatif ,,,,
Bagus,positif ,,,,
Bagus,positif ,,,,
top,positif ,,,,
Ok,positif ,,,,
Sesuai pesanan,positif ,,,,
"Say kasih bintang 2 karena aplikasinya semakin kesini semakin lelet, padahal udah aku update tpi ttep lelet. Bukannya makin bagus malah tambah lelet. Mohon untuk di perbaiki lagi",negatif ,,,,
Jelek,negatif ,,,,
Shoppe sangat membantu saya untuk membeli barang,positif ,,,,
Rifa 8Ám,positif ,,,,
6ionttol0,negatif,,,,
"Min kenapa yaa, timbul≤ ada notifikasi penagihan utang di customer servis, sebelumnya saya gak pernah ngutang, Spaylayer Nonaktif, Spinjam pun Non aktif, jadi kenapa saya ditagih utang min, saya gak oernah ngutang Min",negatif,,,,
"Shoppe skrg selalu pro pada seller barang kw Kurir nya,please kasih jam kerja wajar aja napa. Gila aja jam 9-10 malam nganterin barang, Klo itu Frozen food atau brg penting sih oke lah bisa di maklumi. Aturan buat kurir nya tuh yg wajib di benahi MAX PENGIRIMAN JAM 5-6 sore aja!!!!!!!!!!!!",negatif,,,,
Bukankah ini aplikasi belanja kenapa sekarang malah jadi aplikasi vidio? Klo emang untuk belanja ya sewajarnya kali jangan berlebihan sampai memberatkan aplikasi,negatif,,,,
Mantap!!!belanja di shope,positif ,,,,
Aplikasi lemot,negatif,,,,
"Jangan banyak iklan cape liatnya, engga suka, dikasih bintang 1 loding lama, payahnyusahin aja, intinya engga suka iklannya. Pahamkan",negatif,,,,
???????,,,,,
Paket saya selalu dibatal kan. Saya udah nunggu lama malah di batalkan. Jadi karena itu saya pindah ke apk sebelah,negatif,,,,
lama mengistal,negatif,,,,
"semoga makin banyak promo ya, hehe",positif ,,,,
Pelayanan dari Shopee cukup memuaskan.. Terima kasih banyak.. Sangat membantu..,positif ,,,,
Belanja online mudah di shopee Pengiriman cepat Harga harganya bersahabat Beberapa hari terakhir agak lemot ya,positif,,,,
Aku suka Shopee,positif,,,,
"tidak seperti dulu,sekarang tiap ngisi saldo di potong 1500rupiah dan per transaksi order di potong 1000rupiah kalau di kalikan per order sudah berapa ribu,+ saya kurangi lagi ? nya habis update kok tambah lemot lelet..????",negatif,,,,
Aplikasinya sering berhenti tiba2...trys buka flash sale malah tiba2 kembali ke halaman utama...benerin yg bener dong makin update makin g karuan,negatif,,,,
Kasih start ????? x aja naik limit jadi 20 juta??????????,positif,,,,
Makin lelet aplikasinya dibuka berat seklii Tapi yah lumayan bagus,negatif,,,,
Siip..,positif,,,,
Mohon Tambahkan Tema Gelap,positif,,,,
Makin lama makin hemmmm????,negatif,,,,
Sangat puas semua tokonya amanah,positif,,,,
Nice pokonya,positif,,,,
Muak gw liat iklan orang nyanyi sopi Pi pi kntl,negatif,,,,
Aplikasi penipu,negatif,,,,
Lumayan bagus untuk saat ini dan semoga kedepan terus lebih baik terutama diskon besar-besaran,positif,,,,
Jaya selalu,positif,,,,
Sering berhenti ngelag,negatif,,,,
Sulit ganti nomor handphone yang sudah tak aktif lagi,negatif,,,,
Aplikasi berat jadi lemot,negatif,,,,
"Shopee makin kesini makin aneh, yg seharusnya dapet koin 20k pas di terima barang gadapet koinnya. Bukan mempermasalahkan koinnya yg ga seberapa, tapi kejadian ini ga sekali aja. Kasian buat orang yg ngarepin koinnya, malah tiba-tiba diterima barang gada koinnya.",negatif,,,,
keren karna banyak gratis ongkir heheh??,positif,,,,
ok,positif,,,,
Makan hari makin lemot,negatif,,,,
terpaksa uninstal aja dah ga bisa cod,negatif,,,,
Tahu semua yg kau butuhkan..,positif,,,,
coba dulu,positif,,,,
Saya kecewa Kok shoppepay saya Ga ada 0 Padahal saya udh isi Loh TAU GA ISI SHOPPEPAY ITU PAKE DUIT KOK KERESET SIH SUMPAH NGESELIN BANGET KAPAN SI H SHOPPE GA NGELAG !!!!!,negatif,,,,
"Kurang lancar tdk sprti shopee yg dulu,klo bz d perbaiki to admin tolong app shopee ny d perbaiki agar lancar",negatif,,,,
membantu,positif,,,,
Yang paling saya benci dari shopee adalah update aplikasi,negatif,,,,
keren?,positif,,,,
Sangat baik,positif,,,,
Mengganggu penawaran,negatif,,,,
Sya benar2 berkesan dengan shoppe.hanya saja akun sya yg lama hilang.kalo misalkan sya mau bikin akun baru dengan ktp sya sebagai pendaftaran apa bisa masuk ke akun yg lama ?? sya masih Ada tunggakan di akun yg lama Dan berniat membayar? Untuk develop sya tunggu jwb an nya ?? hidup di bayang-bayangi hutang benar2 tidak tenang ?? meski Kecil hutang ya hutang tetap harus di bayar ??,positif,,,,
Pokoknya baik dah,positif,,,,
Jadi aplikasi belanja online terfavorit dan juga semakin lengkap,positif,,,,
"Kenapa skrg apa apa ngga boleh dijual sih dishopee. Makin nyusahin aja mau nyari garskin buat pod aja udh ngga ada, kebanyakan peraturan skrg__-""",negatif,,,,
Bagus ??????????????????,positif,,,,
"Pake Shopee oke bgt banyak manfaat ,mudah & sering gratis ongkir??????",positif,,,,
??,positif,,,,
ooh,positif,,,,
Shopee makin melaju kencang.. Sekarang boleh di check dulu barang yg di pesan klu ok baru di bayar.. Sukses selalu Shopee.,positif,,,,
"update an terbaru makin eror aja, mau bayar pesanan malah disuruh download fitur, dan download nya pun gak bisa, malah seolah olah gak ada sambungan internet. padahal di apk lain sinyal nya lancar≤ aja",negatif,,,,
"Cpt, terjamin",positif,,,,
bagus lumayan dapet koin gratis,positif,,,,
Aplikasi Terpercaya sih i i,positif,,,,
pak buk pls jangan ada iklan shope bikin ngeganggu,negatif,,,,
Keren,positif,,,,
Puas belanja di Shopee,positif,,,,
"Tolong hilangkan biaya penanganan dari shopee, sekarang belanja di shopee setelah muncul nya biaya penanganan menjadi tidak nyaman, mending kalau 1000 atau 2000 tidak masalah, namun kalau sampai 16000, saya rasa terlalu banyak. Saya minta hilangkan biaya penanganan yang dampak nya nihil!",negatif,,,,
PS drop,negatif,,,,
Kepada developer atau pihak shopee. Tolong di respon pesan sya ini. Sya adalah penjual dan bembeli barang di aplikasi shopee.. sya sudah cukup lama menggunakan aplikasi shopee untuk keperluan belanja dan menjual barang dagangan sya... Sekarang udah dua kali kejadian dana penjualan sya telat terus masuk ke saldo penjualan sya... Keterangan nya tanggal 1 juni sekarang udah tgl 6 malah belum masuk juga... Tolong lah kerja sama nya klo kya gini caranya giman kami bisa memutar modal tersebut. Jawab,negatif,,,,
Aplikasi lemot banget,negatif,,,,
"Hari bebas ongkir, shopee 6.6",positif,,,,
Sangat membantu,positif,,,,
Good luck,positif,,,,
Makin hari makin lelet aplikasinya,negatif,,,,
Lumayan...,positif,,,,
Terima Kasih.. mohon untuk seller jangan terlalu gede biaya adminnya.. kami hanya penjual recehan????,positif,,,,
"Pengiriman lama,padahal sudah di bayar,banyak barang jualan nya tidak berkualitas, sangat buruk!!!!",negatif,,,,
Tolong Shopee untuk memilih jasa pengiriman yang baik... Paket saya Sering Salah kirim.... Sehingga terjadi keterlambatan pengiriman..... Untuk toko penjual nya tolong diseleksi lagi ada beberapa yang tidak amanah.... Tidak sesuai barang yang di pesan dengan barang yang di kirim sehingga merugikan customer/pembeli.....,negatif,,,,
Flashsale 1 rupiah selalu stock habis .ntah permainan apa bukan ..,positif,,,,
Developer kurang waspada dengan bot flash sale yang menguntungkan beberapa orang dan merugikan pengguna reguler. Setidaknya dikasih pengamanan yang lebih.,negatif,,,,
Tolong dong iklan nya mengganggu sekali pedahal saya tidak mempunyai aplikasi shopee...,negatif,,,,
Fungsinal dan efisiensiaksimal,positif,,,,
komplit shopee mah..??,positif,,,,
sangat puas,positif,,,,
Mantap oke,positif,,,,
Amanah mantap,positif,,,,
??????,positif,,,,
Puas .. tapi belum pernah dapat produk gratis,positif,,,,
"Sudah belasan tahun saya memakai shope utk belanja..eh giliran hanya trlambat 1 x saja tagihan prmbyran ,trus akun saya di nonaktifkan...smpai skrg..pdhal saya sudah bayar tagihan saya yg trlambat",negatif,,,,
shopee mantep,positif,,,,
Saya belum pahami apk ini mohon penjelasannya min????,positif,,,,
"lemot nya ga ngotak sumpah, masa makin di upgrade makin lemot sih, masa tiap hari ngelag mulu, tiba≤ keluar aplikasi sndiri, sampe kapan kaya gini cape gw lama≤ sma shopeeT_T",negatif,,,,
Xx,negatif,,,,
Leletnya no 1. Lemotnya juga no 1 Tepuk tangan dulu,negatif,,,,
Suka shope. Karena discount dan harganya miring. Barang cepet sampai juga,positif,,,,
Jelek,negatif,,,,
Smua barang yg di psan sesuai dg pesanan,positif,,,,
"Ada aja dapet kurir males nyari alamat. nunggu pesanan hampir sebulan eh ternyata karena dapet kurir pemalas, alasannya alamat tidak ditemukan. makin kesini makin aneh aja kurir shopee",negatif,,,,
Oo oo ku k ku ijkjjjjjjjjjiijikkk. Bbnnnnnmmmnjjjjjjjkkkklll KL kkkkkk klu JK jnn jl mmmmmmnmmmmmmmmmmmmmmmmmmmmgggggghhghhhhhhhhhhhbbb Mo ggh mmbbbbbhhhhhhgghgggggggggggggggggwwwwwwwwwwwqqqqqqg.llmkk.mmmmmmggggggvvvvgggvvvvvvhbbhhhhhhhhjjnnnnnnnnnnnnjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjijjjjjjjjijjjj,negatif,,,,
Jelas,positif,,,,
Belanja lebih praktis,positif,,,,
Selalu terbaik dalam maret place,positif,,,,
ok,positif,,,,
Mamtabs...,positif,,,,
Banyak iklan di hapus aj itu video iklan shopy sangat mengganggu mks,negatif,,,,
"Bintang Ω kalo ada, Transaksi checkout aja gagal mulu.",negatif,,,,
Bgus,positif,,,,
bagus lah tuk saat ini walau masih saja ada pedagang error alias nakal yg menjengkelkan sampai≤ pengajuan shopee leter blm pernah disetujui,positif,,,,
"Lemot bgt ,spaylatter gak bisa dibuka kecewa",negatif,,,,
Ok punya,positif,,,,
??????????,positif,,,,
Belanja di shopee sangat membantu saya saya puas belanja di shopee,positif,,,,
Perbanyak voucher lagi yah,positif,,,,
Shopee memang ok,positif,,,,
shopee is the best,positif,,,,
"perbaiki lagi , jangan pakai reels video hanya untuk menambah beban aplikasi",negatif,,,,
Makin loyo aja nieee,negatif,,,,
Ok,positif,,,,
Payah,negatif,,,,
"Tiap ada masalah kalo nanya cust seringnya cuma kasi info, ga kasi problem solving yang jelas dan terlaksana, jadi masalah cuma dianalisa aja ga ada solusi tepat guna, ada pun solusinya butuh waktu lama ga cepet waktunya..",negatif,,,,
Murah meriah,positif,,,,
"bagusss, dan parbaikin lgii",positif,,,,
Limit spaylater lama naiknya,negatif,,,,
Bagus dan cepat,positif,,,,
"Gabung Sama GO-PAY Tapi gak Pernah ada Gratis Ongkir GO-SEND,,, Huffff,,Gak Kaya Apk Sebelah,,,Pelit Apa Meditttt??????",negatif,,,,
"Lemot apkny, jaringn bgus ttp jg lemot, pdhal enk belnja lewat sini",negatif,,,,
"shopee parah masa nggak bisa login di perangkat baru. pengenalan wajah selalu gagal. hadeuh, auto pindah ke si biru.",negatif,,,,
Terlalu mengganggu,negatif,,,,
Lagu2 kenangan deumersis,positif,,,,
Sangat baik,positif,,,,
selalu ada iklan,negatif,,,,
Ok,positif,,,,
Bagus,positif,,,,
sangat membantu,positif,,,,
lelet apk nya,negatif,,,,
"aplikasi terasa semakin berat,, loading lamaa",negatif,,,,
0k,positif,,,,
Hay rekan shope Mohon maaf ini saya sudah bayar spaylater tanggal 1 kemarin Masih ada tagihan Dapat email pengembalian dana Terus yang tagiha nya nambah terus nih bunga nya Gmna dong,negatif,,,,
Ok4,positif,,,,
Aku,positif,,,,
Ill and seeing muncul,negatif,,,,
Good,positif,,,,
Ok sangat bagUs,positif,,,,
semoga sukses selalu,positif,,,,
Shopee memang jos gandos ?????? sukses terus shopee,positif,,,,
Sangat memudahkan untuk mencari barang,positif,,,,
"Gk tau,soalny bgs aj",positif,,,,
"Aplikasinya semakin berat, nguras memory banget",negatif,,,,
Good app,positif,,,,
Mantap sekarang ada shoppe saya menjadi lebih ringan karna tinggal cekout saja kalau cocok,positif,,,,
Aplikasi tidak berguna karna ngak bisa di download,negatif,,,,
"Maaf, tapi kenapa semakin lola ya. Jaringan internet sudah stabil.",negatif,,,,
makin lemot,negatif,,,,
Good luck,positif,,,,
okeee bangettt,positif,,,,
Terpercaya,positif,,,,
bagus,positif,,,,
"Videonya hanya bikin berat aplikasi aja, kenapa nggak fokus jualan aja.. tambah ada game lagi, makin berat",negatif,,,,
Mantap,positif,,,,
sangat menyenangkan,positif,,,,
mantap,positif,,,,
Bagus apk nya,positif,,,,
"Iklan mulu, kaga seru, lagi maen iklan shopee muluu kesel bat",negatif,,,,
sopy ??,positif,,,,
Bagus,positif,,,,
perbanyak gratis ongkir dan kalau bisa dikasi info nomor telfon kurir yg bawa paket nya terima kasih shoppe maju trus,positif,,,,
memang shopee sangat bagus.,positif,,,,
Sangat membantu,positif,,,,
Aku selamatkan,positif,,,,
dikit beet gratis ongkirnya kak,negatif,,,,
bagus,positif,,,,
"Tolong tambahkan fitur tema gelap nya ,Terimakasih",positif,,,,
Sangat puas belanja disini,positif,,,,
Kerja bagus,positif,,,,
Aplikasi terasa berat,negatif,,,,
keren banget .. apk yang sangat membantu ...,positif,,,,
good ????????????,positif,,,,
Top,positif,,,,
Sopi aku mau cekot barang tp gratis boleh gx sich xixixi ngakak abiez,positif,,,,
Terbaik,positif,,,,
"Apk nya bagus,banyak diskon dan promo menarik",positif,,,,
"Kecewa selalu ikutan event tapi gak menang≤ jangan≤ semua udah di setting cuma rekannya doang di pilih, waspada kalian php in pelangganmu yang fakir miskin pejuang receh itu dosa besar buat loe pade tanggung.",negatif,,,,
Sangat. Baik,positif,,,,
aplikasi yg sngt aq favorit kan shopee,positif,,,,
Suka banget klau freong,positif,,,,
Saya suka dengan alpikasi shopep,positif,,,,
Mantappppp pol,positif,,,,
Sangat membantu,positif,,,,
Memuaskan slalu,positif,,,,
Ok,positif,,,,
Ok,positif,,,,
Barang nya baguus,positif,,,,
Shopee ok buat kita kita kaum sudra..,positif,,,,
"Tolong produk Vape /rokok elektrik di ada kan, giliran alkohol bisa ketemu. Kontlo",negatif,,,,
Oke,positif,,,,
"shoppee kok nakal banget sih kamu iku ,sumpa pacarku jadi badmood gara gara ga dpat flashsale kalo bikin flash itu yang banyak gini pacarku kecewa nangis badmood takasih ranting satu kalo misal pacalku udah ketawa gara gara kamu takasih bintang 5",negatif,,,,
Buruk,negatif,,,,
Bagus,positif,,,,
Buruk ... Dalam pengiriman!. Lambat,negatif,,,,
Kenapa saya tidak bisa memasukkan alamat saya. Itu shopee tolonglah.,negatif,,,,
sangat membantu sekali,positif,,,,
Lebih baik,positif,,,,
4 bintang,positif,,,,
Ok bnigit,positif,,,,
Bagus,positif,,,,
Bagus,positif,,,,
Baik,positif,,,,
sdh yg kesekian blanja di shopee..trims promonya..trims pelayanannya..sukses to shopee.,positif,,,,
Bintang Yg Berbicara,positif,,,,
1 bintang yg kurang karena aplikasi masih berisi macam≤ dan berukuran besar saat diinstall >50MB.,negatif,,,,
suka banget belanja di shoppe berka selalu yah,positif,,,,
Aplikasi terberat yg pernah ada,negatif,,,,
"Maaf cuma bisa ngasih bintang segitu, soalnya apk shopee makin lambat. ??",negatif,,,,
Sangat bermanfaat untuk belanja onlline.,positif,,,,
"Bagus banget kalo mesen barang nya cepet sampai dan sesuai harapan, makan nya aku kasih bintang lima5, makasih Shopee 6.6 mega elektronik??",positif,,,,
"Perbanyak lagi promonya,jangan kasih kendor,,,semoga kedepannya semakin jaya",positif,,,,
oky,positif,,,,
Aplikasi jual beli terlengkap,positif,,,,
bagusss banget,positif,,,,
Dulu bagus Promonya lumayan adil Sekarang ribet.. top up udh bayar biaya tambahan.. nominal yg masuk jg masih dikurangi lagi dg istilah biaya transaksi.. lha terus yg kita bayar pas top up itu apa dong?????????????? Mau isi lewat Bank pun sering gagal??,negatif,,,,
ok,positif,,,,
Lebih slektif dan tingkatkan keamanan lagi untuk toko≤ yg kurang terpecaya,positif,,,,
rekomendet,positif,,,,
SYUKAAAAAA??????,positif,,,,
baik,positif,,,,
Woy jangan iklan Mulu la liat tik tok GK bisa !!!!!!!,negatif,,,,
"aplikasinya lelet, ngebug mau belanja susah g bisa di pencet padahal klo buka aplikasi lain gk ngebug maaf unistaal Lgi tolong diperbaiki lg biar mudah berbelanja maaf tak ksi bintang 2 ??",negatif,,,,
Aplikasi ini sangat bagus dan aman ga ada penjual yg suka menipu pembeli,positif,,,,
Mantaap,positif,,,,
"aplikasi apasih ajg harus ada download fitur bagian pembayaran,hapus aja fiturnya ribet",negatif,,,,
??????????,positif,,,,
"Bagus , saya suka untuk saat ini tidak ada masalah saya suka dengan pelayanan shoopee, dan berbelanja di shopee ??",positif,,,,
cukup baik,positif,,,,
Semoga spaylater saya bisa digunakan,positif,,,,
bagus,positif,,,,
Good apk,positif,,,,
Mantap,positif,,,,
Lemot,negatif,,,,
Aplikasi nya agak lemot sih tp gpp tetap menikmati berbelanja ???? tingkatkan lagi ya,positif,,,,
Pengiriman lebih cepat. Terimakasih Shopee...,positif,,,,
Dijamin mudah dan murah,positif,,,,
Ya cukup puas,positif,,,,
"Tukang paket nya gatau tempat terus ajah gagal pengiriman pdahal alamt ada jelas , kalau gaada alamat baru gak nyampe nyampe paketaan jelas ini ada alamat tapi gak nyampe eror",negatif,,,,
Bagus,positif,,,,
Aplikasi ini membantu buat belanja online dan menghasilkan koin jika melihat vidio dan mengundang teman,positif,,,,
Bagus.,positif,,,,
mantap shopee,positif,,,,
Bagi saya belanja online di shopee sangat bagusss karna aq senengnya banyak promo ongkirnya juga dan yah sekarang klo beli barang sampainya tuh hampir semingguan. Tapi karna aq tipe org yg gak sabaran jadi klo mau beli barang di shopee kadang beli jauh≤ hari deh dan kalau tidak terlalu mendesak juga it's okay sih bagi aq. ??????,positif,,,,
"Nyaman juga belanja d shopee,, Cukup terbantu karna ada paylater'a Cuman limit nya susah kali naik??",positif,,,,
